message_id,action,message_type,reason,confidence,evidence_message_ids
sample_msg_001,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_002,notify,event,"School admin sent same-day operational update about bus leaving 15 mins early; user has history of opening and replying to similar bus schedule changes from this sender in this group (evidence: message_0133, message_0209).",0.88,message_0133;message_0209
sample_msg_003,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_004,notify,business_update,Verified business (Amazon) sending delivery update matching user's recent order history; user previously opened and replied to similar delivery messages (evidence: message_0004).,0.91,message_0004
sample_msg_005,notify,event,"User has strong engagement history with business_004: opened and replied to 2 prior identical health-update messages within 2 minutes (message_0245, message_0005), zero dismissals. Content references time-sensitive health items (appointment, prescription, claim, pickup) before scheduled time.",0.88,message_0245;message_0005
sample_msg_006,digest,personal,"Direct @mention but explicitly non-urgent ('Nothing dramatic', 'when you get 5 mins'); personal coordination about Sunday pickup. User has history of engaging with this sender in this group for similar cab coordination (evidence: message_0006 opened/replied in 2 min).",0.78,message_0006
sample_msg_007,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_008,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_009,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_010,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_011,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_012,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_013,mute,greeting,"Weighted negative reaction score 44 (threshold 5) from recent messages ; greeting content in message. Details: msg message_0078: muted(1), dismissed(1); msg message_0077: muted(1), dismissed(1); msg message_0172: muted(1), dismissed(1)",0.88,none
sample_msg_014,digest,unknown,Unable to determine routing with sufficient confidence. Defaulting to digest for manual review.,0.3,none
sample_msg_015,mute,promotion,User opted out of promotions from business_094 on 2026-07-17 23:55.,0.9,none
sample_msg_019,mute,scam,Phishing scam requesting OTP verification via suspicious domain account-login.in; identical pattern to historical scams message_0023 and message_0045 in group_005.,0.92,message_0023;message_0045
sample_msg_020,mute,greeting,"Weighted negative reaction score 49 (threshold 5) from recent messages ; group message default. Details: msg message_0087: reported(1), muted(1), dismissed(1); msg message_0184: reported(1), muted(1), dismissed(1); msg message_0088: reported(1), muted(1), dismissed(1)",0.88,none
sample_msg_041,mute,personal,"User muted this group; voice note explicitly states 'nothing urgent' with no @mention, similar to previous personal updates from this sender that user opened but didn't prioritize (evidence: message_0046).",0.88,message_0046
sample_msg_042,notify,urgent,Voice message from family member (u_041) in extended_family group states 'Dad is unwell and we are going to the clinic' - medical/family emergency requiring immediate attention despite group_muted_by_user=1.,0.9,message_0035
sample_msg_043,mute,scam,"Unverified business (business_098) with 23 reports, 35-day-old account, and domain mismatch. Likely impersonator.",0.95,none
sample_msg_044,digest,promotion,Marketplace selling post for kurta set in group_005; user opened similar post from same sender u_048 (message_0113) but dismissed another kurta post and muted after (message_0095) - mixed engagement suggests digest not notify.,0.65,message_0113;message_0095
sample_msg_045,mute,greeting,"Weighted negative reaction score 20 (threshold 5) from recent messages ; group message default. Details: msg message_0115: muted(1), dismissed(1); msg message_0050: muted(1), dismissed(1); msg message_0224: muted(1), dismissed(1)",0.88,none
sample_msg_046,notify,event,"School admin u_045 sent circular with timing/consent note; user has strong engagement history with identical messages from same sender in group_003 (opened/replied within 2 mins to message_0403 and message_0051, zero dismissals).",0.88,message_0403;message_0051
sample_msg_047,mute,promotion,"User has dismissed and muted after 2 previous similar promotional messages from business_011 (message_0402, message_0257) - consistent pattern of ignoring shopping offers. Image confirms Amazon Prime Day promotional graphic.",0.88,message_0402;message_0257
sample_msg_048,digest,business_update,HDFC Bank (business_091) sending legitimate security awareness advisory about OTP scams; user opened similar safety advisory from this business 153 days ago (message_0412) without dismissing; educational content not time-critical.,0.75,message_0412
sample_msg_049,notify,personal,"Direct 1:1 message asking if user is still coordinating volunteer registrations for Saturday; legitimate personal inquiry requiring response, not urgent but user would want to know.",0.78,none
sample_msg_050,digest,personal,"Personal 1:1 message from u_041 explicitly stating 'Nothing urgent' and asking to talk tomorrow; user has history of opening similar non-urgent messages from this sender (evidence: message_0225, message_0167).",0.88,message_0225;message_0167
sample_msg_051,notify,urgent,"Personal message from u_046 about alert threshold crossed with escalation in 20 minutes; user opened and replied to 2 similar urgent work messages from this sender within 2 minutes (message_0249, message_0228), zero dismissals.",0.89,message_0249;message_0228
sample_msg_052,mute,scam,"Weighted negative reaction score 14 (threshold 5) from recent messages ; scam language in current message. Details: msg message_0381: reported(1), muted(1), dismissed(1); msg message_0238: reported(1), muted(1), dismissed(1)",0.88,none
sample_msg_053,mute,scam,"Weighted negative reaction score 8 (threshold 5) from recent messages ; scam language in current message. Details: msg message_0173: muted(1), dismissed(1); msg message_0174: muted(1), dismissed(1)",0.88,none
