message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,"Verified HDFC Bank (domain_match=true, account_age=974d) sending payment update to user with active_bank_account; user opened and replied to identical message (message_0243) in 2 minutes, 0 dismissals from this business.",0.88,message_0243
msg_091,mute,scam,"Weighted negative reaction score 14 (threshold 5) from recent messages ; scam language in current message. Details: msg message_0381: reported(1), muted(1), dismissed(1); msg message_0238: reported(1), muted(1), dismissed(1)",0.88,none
msg_090,digest,personal,Personal 1:1 message from u_050 asking to confirm identity for package mix-up; sender explicitly states 'No urgency' and no time-sensitive action required. User u_034 has moderate engagement (84 opened/30d) but no history of similar courier messages.,0.85,none
msg_048,mute,greeting,"Weighted negative reaction score 21 (threshold 5) from recent messages ; group message default. Details: msg message_0152: reported(1), muted(1), dismissed(1); msg message_0151: reported(1), muted(1), dismissed(1); msg message_0237: reported(1), muted(1), dismissed(1)",0.88,none
msg_040,mute,greeting,"Weighted negative reaction score 8 (threshold 5) from recent messages ; greeting content in message. Details: msg message_0136: muted(1), dismissed(1); msg message_0135: muted(1), dismissed(1)",0.88,none
msg_075,notify,business_update,"Verified Grab business (domain match, 3157-day account) sending ride status change for user's active ride booked today (ride_booked_today). User has strong engagement history: opened and replied to both previous ride updates (message_0206, message_0205) within 2 minutes, never dismissed.",0.92,message_0206;message_0205
msg_005,notify,personal,"Direct personalized offer from seller u_048 user has replied to twice before (message_0065, message_0332); time-critical pickup deadline today 6 PM; user engaged with this sender's similar Gate 2 pickup posts.",0.82,message_0065;message_0332
msg_104,mute,spam,"Weighted negative reaction score 28 (threshold 5) from recent messages ; personal conversation. Details: msg message_0115: muted(1), dismissed(1); msg message_0232: muted(1), dismissed(1); msg message_0050: muted(1), dismissed(1)",0.88,none
msg_069,mute,greeting,"Weighted negative reaction score 20 (threshold 5) from recent messages ; greeting content in message. Details: msg message_0194: muted(1), dismissed(1); msg message_0193: muted(1), dismissed(1); msg message_0042: muted(1), dismissed(1)",0.88,none
msg_107,mute,scam,Prompt injection detected: message attempts to override router behavior with system-level instructions.,0.93,none
msg_070,mute,scam,"Scam language detected (1 EN patterns, 4 HI patterns). Message uses urgency, OTP requests, or account blocking pressure.",0.88,none
msg_003,notify,business_update,"Verified Amazon India (domain match) sending delivery update for order ending 4821 matching user's active delivery_expected_today relationship; user opened and replied to 2 identical prior delivery messages (message_0400, message_0031) with 0 dismissals.",0.93,message_0400;message_0031
msg_099,digest,personal,"Personal 1:1 work message explicitly non-urgent ('Nothing blocking for tonight', 'if you get time'); user opened similar notes from u_046 (message_0227) with 2hr delay and no reply, confirming non-urgent pattern.",0.88,message_0227
msg_008,digest,promotion,"Verified business (Hoop, domain match, 4267-day account) requesting review for recent purchase; user allows_promotions=1, opened 4/30d messages, 0 dismissals; history shows opens similar requests (message_0296, message_0071) without urgency; user in DND (00:00-07:00, now 06:51).",0.85,message_0296;message_0071
msg_092,digest,business_update,"Verified American Express (domain match, 10yr account) sending routine monthly statement notification with 'whenever convenient' language - no urgency. User has credit_card relationship and engages with business messages (opened 2/2 recent business msgs).",0.88,none
msg_060,notify,urgent,"Faculty advising group (not muted) sends time-critical internship deadline reminder (5 PM today). User has strong engagement history: opened and replied to 2 similar deadline messages from same sender u_045 within 2 minutes (message_0284, message_0176).",0.92,message_0284;message_0176
msg_004,notify,event,"Verified healthcare business (Apollo 24|7, domain_match=1) sending health update matching user's upcoming_clinic_appointment relationship; user opened and replied to identical messages within 2 minutes historically (message_0245, message_0005); message requests action before scheduled time.",0.92,message_0245;message_0005
msg_030,mute,greeting,"Weighted negative reaction score 20 (threshold 5) from recent messages ; group message default. Details: msg message_0115: muted(1), dismissed(1); msg message_0050: muted(1), dismissed(1); msg message_0224: muted(1), dismissed(1)",0.88,none
